"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2032","testCreateBookingPOST_POSITIVE_RANDOM_DATA","","","passed","","","TestSuite","com.testFramework.tests.crud.TestCreateBooking",""
"","23","testTokenPOST","","","failed","","","TestSuite","com.testFramework.tests.crud.TestCreateToken",""
"","7","testCreateBooking[org.testng.TestRunner@14dbfdb1](1)","","","failed","","","TestSuite","com.testFramework.tests.e2e_integration.TestIntegrationFlow1",""
"","4","testVerifyBookingId[org.testng.TestRunner@14dbfdb1](1)","","","failed","","","TestSuite","com.testFramework.tests.e2e_integration.TestIntegrationFlow1",""
"","4","testCreateBooking","","","passed","","","TestSuite","com.testFramework.tests.sample.TestIntegrationSample",""
"","7","testCreateBooking[org.testng.TestRunner@14dbfdb1](1)","","","passed","","","TestSuite","com.testFramework.tests.e2e_integration.TestIntegrationFlow2",""
"","1746","testCreateBookingPOST_POSITIVE_CHINESE","","","failed","","","TestSuite","com.testFramework.tests.crud.TestCreateBooking",""
"","5","testDeleteBookingById[org.testng.TestRunner@14dbfdb1](1)","","","passed","","","TestSuite","com.testFramework.tests.e2e_integration.TestIntegrationFlow2",""
"","9","testVerifyBookingId","","","passed","","","TestSuite","com.testFramework.tests.sample.TestIntegrationSample",""
"","6","testGETHealthCheck","","","failed","","","TestSuite","com.testFramework.tests.crud.TestHealthCheck",""
"","1504","testCreateBookingPOST_Negative","","","passed","","","TestSuite","com.testFramework.tests.crud.TestCreateBooking",""
"","1","testUpdateBookingByID","","","passed","","","TestSuite","com.testFramework.tests.sample.TestIntegrationSample",""
"","1728","testDeleteBookingById[org.testng.TestRunner@14dbfdb1](1)","","","failed","","","TestSuite","com.testFramework.tests.e2e_integration.TestIntegrationFlow1",""
"","1","testDeleteBookingById","","","passed","","","TestSuite","com.testFramework.tests.sample.TestIntegrationSample",""
"","4","testUpdateBookingByID[org.testng.TestRunner@14dbfdb1](1)","","","failed","","","TestSuite","com.testFramework.tests.e2e_integration.TestIntegrationFlow1",""
"","3072","testCreateBookingPOST_Positive","","","passed","","","TestSuite","com.testFramework.tests.crud.TestCreateBooking",""
"","7","testVerifyBookingId[org.testng.TestRunner@14dbfdb1](1)","","","passed","","","TestSuite","com.testFramework.tests.e2e_integration.TestIntegrationFlow2",""
